TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
UTA,UTA @ LAC,06/18/2021,L,240,119,42,86,48.8,21,44,47.7,14,19,73.7,16,27,43,19,4,0,16,19,-12
UTA,UTA vs. LAC,06/16/2021,L,240,111,36,80,45.0,20,54,37.0,19,27,70.4,7,29,36,15,7,1,14,21,-8
UTA,UTA @ LAC,06/14/2021,L,240,104,33,77,42.9,17,42,40.5,21,26,80.8,8,31,39,19,4,3,11,32,-14
UTA,UTA @ LAC,06/12/2021,L,240,106,36,84,42.9,19,44,43.2,15,17,88.2,9,29,38,15,7,1,16,22,-26
UTA,UTA vs. LAC,06/10/2021,W,240,117,42,76,55.3,20,39,51.3,13,21,61.9,2,34,36,15,4,3,16,23,6
UTA,UTA vs. LAC,06/08/2021,W,240,112,37,91,40.7,17,50,34.0,21,26,80.8,12,34,46,18,5,6,7,24,3
UTA,UTA vs. MEM,06/02/2021,W,240,126,49,95,51.6,17,44,38.6,11,12,91.7,11,40,51,27,10,5,15,16,16
UTA,UTA @ MEM,05/31/2021,W,240,120,39,85,45.9,17,34,50.0,25,28,89.3,7,35,42,23,7,4,11,16,7
UTA,UTA @ MEM,05/29/2021,W,240,121,40,81,49.4,19,43,44.2,22,27,81.5,7,36,43,17,4,7,13,18,10
UTA,UTA vs. MEM,05/26/2021,W,240,141,49,90,54.4,19,39,48.7,24,31,77.4,12,30,42,28,2,4,13,25,12
UTA,UTA vs. MEM,05/23/2021,L,240,109,34,81,42.0,12,47,25.5,29,33,87.9,12,38,50,20,3,11,16,21,-3
UTA,UTA @ SAC,05/16/2021,W,240,121,41,86,47.7,18,39,46.2,21,25,84.0,9,41,50,28,9,3,16,14,22
UTA,UTA @ OKC,05/14/2021,W,240,109,40,93,43.0,13,39,33.3,16,21,76.2,17,36,53,23,9,3,11,17,16
UTA,UTA vs. POR,05/12/2021,L,240,98,35,85,41.2,12,40,30.0,16,21,76.2,15,38,53,15,4,4,12,22,-7
UTA,UTA @ GSW,05/10/2021,L,240,116,41,91,45.1,13,44,29.5,21,24,87.5,13,35,48,14,7,1,15,20,-3
UTA,UTA vs. HOU,05/08/2021,W,240,124,45,85,52.9,15,38,39.5,19,21,90.5,7,42,49,28,7,4,18,13,8
UTA,UTA vs. DEN,05/07/2021,W,240,127,43,89,48.3,21,46,45.7,20,23,87.0,9,29,38,27,9,3,12,20,7
UTA,UTA vs. SAS,05/05/2021,W,240,126,49,88,55.7,18,41,43.9,10,14,71.4,7,46,53,24,5,2,18,20,32
UTA,UTA vs. SAS,05/03/2021,W,240,110,44,88,50.0,11,36,30.6,11,16,68.8,14,36,50,22,10,5,16,11,11
UTA,UTA vs. TOR,05/01/2021,W,240,106,37,78,47.4,17,41,41.5,15,18,83.3,9,40,49,20,3,3,21,15,4
UTA,UTA @ PHX,04/30/2021,L,240,100,35,80,43.8,14,39,35.9,16,18,88.9,8,28,36,22,8,5,14,17,-21
UTA,UTA @ SAC,04/28/2021,W,240,154,55,86,64.0,24,41,58.5,20,21,95.2,8,39,47,36,4,9,14,15,49
UTA,UTA @ MIN,04/26/2021,L,240,104,37,95,38.9,16,57,28.1,14,19,73.7,16,33,49,24,9,6,11,18,-1
UTA,UTA vs. MIN,04/24/2021,L,240,96,33,82,40.2,19,47,40.4,11,15,73.3,9,36,45,24,9,5,20,21,-5
UTA,UTA @ HOU,04/21/2021,W,240,112,41,90,45.6,17,46,37.0,13,16,81.3,9,52,61,27,7,4,12,16,23
UTA,UTA @ LAL,04/19/2021,W,240,111,43,75,57.3,15,33,45.5,10,11,90.9,2,40,42,29,5,5,17,20,14
UTA,UTA @ LAL,04/17/2021,L,265,115,42,101,41.6,23,59,39.0,8,8,100,6,31,37,31,10,3,16,21,-12
UTA,UTA vs. IND,04/16/2021,W,240,119,42,87,48.3,16,42,38.1,19,24,79.2,10,46,56,22,5,6,21,19,8
UTA,UTA vs. OKC,04/13/2021,W,240,106,36,86,41.9,17,47,36.2,17,20,85.0,11,40,51,24,6,10,14,18,10
UTA,UTA vs. WAS,04/12/2021,L,240,121,41,85,48.2,15,36,41.7,24,31,77.4,9,34,43,21,2,3,14,23,-4
UTA,UTA vs. SAC,04/10/2021,W,240,128,40,88,45.5,18,50,36.0,30,35,85.7,11,41,52,22,8,5,10,17,16
UTA,UTA vs. POR,04/08/2021,W,240,122,43,95,45.3,12,42,28.6,24,27,88.9,14,44,58,21,4,3,7,15,19
UTA,UTA @ PHX,04/07/2021,L,265,113,46,103,44.7,11,44,25.0,10,15,66.7,7,38,45,14,6,4,13,23,-4
UTA,UTA @ DAL,04/05/2021,L,240,103,37,88,42.0,12,44,27.3,17,22,77.3,14,34,48,20,3,4,9,18,-8
UTA,UTA vs. ORL,04/03/2021,W,240,137,51,92,55.4,26,55,47.3,9,12,75.0,7,43,50,34,10,6,11,25,46
UTA,UTA vs. CHI,04/02/2021,W,240,113,37,79,46.8,13,36,36.1,26,27,96.3,6,37,43,16,6,5,11,18,7
UTA,UTA @ MEM,03/31/2021,W,240,111,38,89,42.7,16,49,32.7,19,25,76.0,11,35,46,20,10,5,15,21,4
UTA,UTA vs. CLE,03/29/2021,W,240,114,38,82,46.3,19,41,46.3,19,23,82.6,9,46,55,29,6,5,12,14,39
UTA,UTA vs. MEM,03/27/2021,W,240,126,46,92,50.0,19,45,42.2,15,20,75.0,13,39,52,22,8,8,22,22,16
UTA,UTA vs. MEM,03/26/2021,W,240,117,45,98,45.9,12,33,36.4,15,18,83.3,14,37,51,25,5,4,7,15,3
UTA,UTA vs. BKN,03/24/2021,W,240,118,41,91,45.1,23,55,41.8,13,14,92.9,11,45,56,24,6,6,13,15,30
UTA,UTA @ CHI,03/22/2021,W,240,120,45,92,48.9,17,39,43.6,13,15,86.7,10,36,46,25,9,10,9,16,25
UTA,UTA @ TOR,03/19/2021,W,240,115,34,74,45.9,12,37,32.4,35,41,85.4,9,39,48,21,7,5,13,16,3
UTA,UTA @ WAS,03/18/2021,L,240,122,44,96,45.8,18,48,37.5,16,28,57.1,11,36,47,19,10,3,17,27,-9
UTA,UTA @ BOS,03/16/2021,W,240,117,38,80,47.5,19,43,44.2,22,24,91.7,10,28,38,23,6,6,17,18,8
UTA,UTA @ GSW,03/14/2021,L,240,119,41,93,44.1,15,44,34.1,22,29,75.9,18,33,51,24,6,6,14,16,-12
UTA,UTA vs. HOU,03/12/2021,W,240,114,39,81,48.1,15,40,37.5,21,25,84.0,6,45,51,24,7,10,20,17,15
UTA,UTA @ PHI,03/03/2021,L,265,123,44,100,44.0,21,44,47.7,14,19,73.7,12,40,52,22,7,1,16,24,-8
UTA,UTA @ NOP,03/01/2021,L,240,124,46,101,45.5,17,43,39.5,15,18,83.3,11,28,39,26,11,7,9,22,-5
UTA,UTA @ ORL,02/27/2021,W,240,124,45,85,52.9,17,45,37.8,17,24,70.8,10,42,52,29,2,3,12,14,15
UTA,UTA @ MIA,02/26/2021,L,240,116,40,94,42.6,15,46,32.6,21,23,91.3,9,27,36,24,9,3,9,21,-8
UTA,UTA vs. LAL,02/24/2021,W,240,114,41,87,47.1,22,48,45.8,10,15,66.7,14,39,53,28,7,1,12,16,25
UTA,UTA vs. CHA,02/22/2021,W,240,132,45,85,52.9,28,55,50.9,14,17,82.4,8,37,45,34,7,7,23,19,22
UTA,UTA @ LAC,02/19/2021,L,240,112,41,86,47.7,12,34,35.3,18,21,85.7,6,32,38,13,7,6,11,22,-4
UTA,UTA @ LAC,02/17/2021,W,240,114,42,98,42.9,13,40,32.5,17,20,85.0,17,36,53,19,12,3,13,15,18
UTA,UTA vs. PHI,02/15/2021,W,240,134,45,86,52.3,18,45,40.0,26,31,83.9,7,29,36,18,9,4,11,18,11
UTA,UTA vs. MIA,02/13/2021,W,240,112,39,85,45.9,12,46,26.1,22,29,75.9,10,38,48,26,11,7,16,21,18
UTA,UTA vs. MIL,02/12/2021,W,240,129,43,82,52.4,14,38,36.8,29,34,85.3,7,39,46,22,4,5,17,22,14
UTA,UTA vs. BOS,02/09/2021,W,240,122,40,84,47.6,18,48,37.5,24,27,88.9,10,31,41,28,4,7,11,22,14
UTA,UTA @ IND,02/07/2021,W,240,103,38,92,41.3,13,42,31.0,14,21,66.7,16,44,60,22,2,4,14,17,8
UTA,UTA @ CHA,02/05/2021,W,240,138,48,87,55.2,26,50,52.0,16,18,88.9,6,38,44,32,5,9,16,19,17
UTA,UTA @ ATL,02/04/2021,W,240,112,44,91,48.4,13,27,48.1,11,13,84.6,12,40,52,19,7,4,14,20,21
UTA,UTA vs. DET,02/02/2021,W,240,117,38,82,46.3,16,42,38.1,25,29,86.2,8,36,44,23,9,6,13,17,12
UTA,UTA @ DEN,01/31/2021,L,240,117,32,75,42.7,20,47,42.6,33,39,84.6,10,28,38,28,3,4,15,21,-11
UTA,UTA vs. DAL,01/29/2021,W,240,120,38,87,43.7,20,48,41.7,24,26,92.3,17,39,56,21,8,5,15,25,19
UTA,UTA vs. DAL,01/27/2021,W,240,116,42,91,46.2,16,41,39.0,16,21,76.2,11,39,50,20,7,7,10,18,12
UTA,UTA vs. NYK,01/26/2021,W,240,108,37,92,40.2,15,48,31.3,19,22,86.4,17,36,53,24,6,5,6,14,14
UTA,UTA vs. GSW,01/23/2021,W,240,127,45,94,47.9,20,50,40.0,17,22,77.3,14,43,57,28,6,4,16,20,19
UTA,UTA vs. NOP,01/21/2021,W,240,129,44,88,50.0,17,39,43.6,24,25,96.0,8,31,39,27,8,8,15,27,11
UTA,UTA vs. NOP,01/19/2021,W,240,118,43,85,50.6,21,47,44.7,11,17,64.7,11,43,54,28,4,7,16,17,16
