TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
PHX,PHX @ MIL,07/20/2021,L,240,98,38,86,44.2,6,25,24.0,16,19,84.2,6,31,37,14,11,4,15,21,-7
MIL,MIL vs. PHX,07/20/2021,W,240,105,37,82,45.1,6,27,22.2,25,29,86.2,11,42,53,20,10,6,19,17,7
MIL,MIL @ PHX,07/17/2021,W,240,123,50,87,57.5,14,28,50.0,9,17,52.9,11,26,37,26,7,1,12,17,4
PHX,PHX vs. MIL,07/17/2021,L,240,119,48,87,55.2,13,19,68.4,10,11,90.9,8,27,35,23,9,5,9,20,-4
PHX,PHX @ MIL,07/14/2021,L,240,103,40,78,51.3,7,23,30.4,16,19,84.2,5,35,40,18,3,9,17,24,-6
MIL,MIL vs. PHX,07/14/2021,W,240,109,39,97,40.2,7,29,24.1,24,29,82.8,17,31,48,22,11,3,5,18,6
PHX,PHX @ MIL,07/11/2021,L,240,100,40,83,48.2,9,31,29.0,11,16,68.8,6,30,36,21,3,3,15,24,-20
MIL,MIL vs. PHX,07/11/2021,W,240,120,43,90,47.8,14,36,38.9,20,26,76.9,13,34,47,28,8,2,9,18,20
MIL,MIL @ PHX,07/08/2021,L,240,108,42,93,45.2,9,31,29.0,15,23,65.2,18,28,46,21,8,7,9,17,-10
PHX,PHX vs. MIL,07/08/2021,W,240,118,43,88,48.9,20,40,50.0,12,14,85.7,11,32,43,26,7,2,13,19,10
MIL,MIL @ PHX,07/06/2021,L,240,105,40,88,45.5,16,36,44.4,9,16,56.3,9,38,47,21,4,2,14,18,-13
PHX,PHX vs. MIL,07/06/2021,W,240,118,41,88,46.6,11,34,32.4,25,26,96.2,6,37,43,18,9,1,9,14,13
MIL,MIL @ ATL,07/03/2021,W,240,118,41,89,46.1,17,45,37.8,19,21,90.5,12,34,46,24,11,5,15,23,11
ATL,ATL vs. MIL,07/03/2021,L,240,107,38,92,41.3,12,32,37.5,19,23,82.6,13,30,43,22,11,2,16,16,-11
MIL,MIL vs. ATL,07/01/2021,W,240,123,48,95,50.5,9,29,31.0,18,25,72.0,14,33,47,28,11,5,9,17,11
ATL,ATL @ MIL,07/01/2021,L,240,112,41,90,45.6,15,38,39.5,15,19,78.9,13,27,40,24,6,5,14,22,-11
PHX,PHX @ LAC,06/30/2021,W,240,130,53,94,56.4,17,31,54.8,7,11,63.6,10,37,47,27,5,4,10,21,27
LAC,LAC vs. PHX,06/30/2021,L,240,103,33,79,41.8,12,39,30.8,25,32,78.1,7,25,32,18,5,3,10,11,-27
ATL,ATL vs. MIL,06/29/2021,W,240,110,43,85,50.6,13,38,34.2,11,13,84.6,8,35,43,26,11,4,12,22,22
MIL,MIL @ ATL,06/29/2021,L,240,88,33,84,39.3,8,39,20.5,14,19,73.7,12,31,43,19,6,3,15,18,-22
PHX,PHX vs. LAC,06/28/2021,L,240,102,38,84,45.2,9,26,34.6,17,20,85.0,7,34,41,22,6,1,14,19,-14
LAC,LAC @ PHX,06/28/2021,W,240,116,46,84,54.8,10,30,33.3,14,15,93.3,2,38,40,20,8,2,10,16,14
MIL,MIL @ ATL,06/27/2021,W,240,113,45,88,51.1,11,29,37.9,12,21,57.1,15,35,50,27,8,5,12,18,11
ATL,ATL vs. MIL,06/27/2021,L,240,102,39,84,46.4,15,37,40.5,9,16,56.3,9,26,35,20,8,7,12,22,-11
PHX,PHX @ LAC,06/26/2021,W,240,84,31,86,36.0,4,20,20.0,18,21,85.7,17,42,59,16,4,8,14,27,4
