Opposing team,RSL game date,Game Time,Point number,Celebration Time,location
Sporting Kansas City,2021,71:57:00,1,35.7,away
Sporting Kansas City,2021,90:24:00,2,43.4,away
Minnesota United,2021,30:42:00,1,24.2,home
Los Angeles FC,2018,20:31:00,1,21.59,away
Los Angeles FC,2018,57:57:00,2,25.64,away
Los Angeles FC,2018,68:54:00,3,38.67,away
Sporting Kansas City,2013,51:33:00,1,43.56,away
Colorado Rapids,2008,89:15:00,1,34.98,away
Sporting Kansas City,2013,55:01:00,1,56.78,home
Inter Milan,2016,17:15:00,1,53.02,home
Sacramento Republic FC,2014,56:56:00,1,31.72,home
Sacramento Republic FC,2014,90:00:00,2,62.03,home
LA Galaxy,2015,86:30:00,1,67.93,home
New England Revolution,2022,77:11:00,1,13.34,away
New England Revolution,2022,87:31:00,2,31.25,away
New England Revolution,2022,93:07:00,3,30.06,away
Toronto FC,2022,6:54:00,1,68.74,home
Toronto FC,2022,42:30:00,2,85.35,home
Seattle Sounders,2022,46:54:00,1,55.04,home
Nashville SC,2022,1:34:00,1,57.39,home
Nashville SC,2022,53:28:00,2,59.13,home
Colorado Rapids,2022,44:24:00,1,24.25,away
Portland Timbers,2019,27:50:00,1,24.2,home
Colorado Rapids,2021,63:06:00,1,30.5,away
LA Galaxy,2021,44:57:00,1,38.2,home
LA Galaxy,2021,94:30:00,2,95.2,home
Seattle Sounders,2021,40:09:00,1,24.1,away
Seattle Sounders FC,2021,78:41:00,1,23.69,away
Colorado Rapids,2021,12:13:00,1,51.52,home
Colorado Rapids,2021,56:00:00,2,38.95,home
Colorado Rapids,2021,95:38:00,3,39.99,home
Sporting Kansas City,2021,94:38:00,1,47,away
San Jose Earthquakes,2021,8:52:00,1,23.5,home
San Jose Earthquakes,2021,84:18:00,2,38.54,home
San Jose Earthquakes,2021,92:00:00,3,48.36,home
Austin FC ,2021,31:20:00,1,49.47,home
Colorado Rapids,2021,13:25:00,1,52.29,home
Colorado Rapids,2021,29:39:00,2,32.11,home
Colorado Rapids,2021,75:45:00,3,48.13,home
Portland Timbers,2021,39:06:00,1,31.44,away
Portland Timbers,2021,79:29:00,2,37.97,away
San Jose Earthquakes,2021,46:40:00,1,24.13,away
San Jose Earthquakes,2021,48:37:00,2,34.73,away
San Jose Earthquakes,2021,70:15:00,3,22.41,away
San Jose Earthquakes,2021,80:40:00,4,26.39,away
Los Angeles FC,2021,27:28:00,1,41.99,away
Los Angeles FC,2021,47:13:00,2,44.62,away
Portland Timbers,2021,87:03:00,1,30.76,home
Seattle Sounders FC,2021,45:54:00,1,48.12,home
Seattle Sounders FC,2021,47:30:00,1,44.36,home
